outcome,probability_pct,forecast_date,meeting_date,method
Fed maintains rate,62.294372294372295,2026-02-10 19:00:19.241217,2026-03-18,multi_signal_dynamic
Cut 25bps,22.26190476190476,2026-02-10 19:00:19.241217,2026-03-18,multi_signal_dynamic
Hike 25bps,8.538961038961038,2026-02-10 19:00:19.241217,2026-03-18,multi_signal_dynamic
Cut >25bps,3.4523809523809526,2026-02-10 19:00:19.241217,2026-03-18,multi_signal_dynamic
Hike >25bps,3.4523809523809526,2026-02-10 19:00:19.241217,2026-03-18,multi_signal_dynamic
